"","long","lat","Name","description","...5","Website","type","status","water","Address","url_status","url_checked"
"31",-82.2633677,35.7728376,"Mount Mitchell State Park","State Park",NA,"https://www.ncparks.gov/state-parks/mount-mitchell-state-park","State parks",NA,NA,"2388 NC-128, Burnsville, NC 28714","Accessible","https://www.ncparks.gov/state-parks/mount-mitchell-state-park"
"32",-81.3417219,36.4651442,"New River State Park","State Park",NA,"https://www.ncparks.gov/state-parks/new-river-state-park","State parks",NA,NA,"358 New River State Park Rd, Laurel Springs, NC 28644","Accessible","https://www.ncparks.gov/state-parks/new-river-state-park"
"33",-79.1171084,36.0606205,"Occoneechee Mountain State Natural Area","State Park",NA,"https://www.ncparks.gov/state-parks/occoneechee-mountain-state-natural-area","State parks",NA,NA,"625 Virginia Cates Rd, Hillsborough, NC 27278","Accessible","https://www.ncparks.gov/state-parks/occoneechee-mountain-state-natural-area"
"34",-76.4210294,35.7960693,"Pettigrew State Park","State Park",NA,"https://www.ncparks.gov/state-parks/pettigrew-state-park","State parks",NA,NA,"2252 Lake Shore Rd, Creswell, NC 27928","Accessible","https://www.ncparks.gov/state-parks/pettigrew-state-park"
"35",-80.4775275,36.3411881,"Pilot Mountain State Park","State Park",NA,"https://www.ncparks.gov/state-parks/pilot-mountain-state-park","State parks",NA,NA,"1721 Pilot Knob Park Rd, Pinnacle, NC 27043","Accessible","https://www.ncparks.gov/state-parks/pilot-mountain-state-park"
"36",-78.9135741,35.4635101,"Raven Rock State Park","State Park",NA,"https://www.ncparks.gov/state-parks/raven-rock-state-park","State parks",NA,NA,"3009 Raven Rock Rd, Lillington, NC 27546","Accessible","https://www.ncparks.gov/state-parks/raven-rock-state-park"
"37",-81.2876691,36.2189417,"Rendezvous Mountain","State Park",NA,"https://www.ncparks.gov/state-parks/rendezvous-mountain","State parks",NA,NA,"1956 Rendezvous Mountain Road Purlear, NC 28665","Accessible","https://www.ncparks.gov/state-parks/rendezvous-mountain"
"38",-78.449884,34.581262,"Singletary Lake State Park","State Park",NA,"https://www.ncparks.gov/state-parks/singletary-lake-state-park","State parks",NA,NA,"6707 NC-53 E, Kelly, NC 28448","Accessible","https://www.ncparks.gov/state-parks/singletary-lake-state-park"
"39",-81.683024,35.6115736,"South Mountains State Park","State Park",NA,"https://www.ncparks.gov/state-parks/south-mountains-state-park","State parks",NA,NA,"Ê3001 S Mountain Park, Connelly Springs, NC 28612","Accessible","https://www.ncparks.gov/state-parks/south-mountains-state-park"
"40",-81.0224605,36.3828761,"Stone Mountain State Park","State Park",NA,"https://www.ncparks.gov/state-parks/stone-mountain-state-park","State parks",NA,NA,"3042 Frank Pkwy, Roaring Gap, NC 28668","Accessible","https://www.ncparks.gov/state-parks/stone-mountain-state-park"
"41",-79.3689873,35.1471827,"Weymouth Woods - Sandhills Nature Preserve","State Park",NA,"https://www.ncparks.gov/state-parks/weymouth-woods-sandhills-nature-preserve","State parks",NA,NA,"1024 N Fort Bragg Rd, Southern Pines, NC 28387","Accessible","https://www.ncparks.gov/state-parks/weymouth-woods-sandhills-nature-preserve"
"42",-78.7518462,35.8894623,"William B. Umstead State Park","State Park",NA,"https://www.ncparks.gov/state-parks/william-b-umstead-state-park","State parks",NA,NA,"8801 Glenwood Ave, Raleigh, NC 27617","Accessible","https://www.ncparks.gov/state-parks/william-b-umstead-state-park"
